sampleID,siteID,siteName,siteType,host,x,y,elevation,soilType,ppt,solslope,annualtmean,avg_evi
14M,S14,site 14,xan_only,marah,-118.5216,35.31382,615,metasedimentary,277.649,19.6469,16.0149,0.218331423
14X,S14,site 14,xan_only,xantiana,-118.5216,35.31382,615,metasedimentary,277.649,19.6469,16.0149,0.218331423
16M,S16,site 16,ung_incl,marah,-118.592,35.32184,628,igneous,288.883,19.4738,16.085,0.233892292
16U,S16,site 16,ung_incl,unguiculata,-118.592,35.32184,628,igneous,288.883,19.4738,16.085,0.233892292
16X,S16,site 16,ung_incl,xantiana,-118.592,35.32184,628,igneous,288.883,19.4738,16.085,0.233892292
17M,S17,site 17,xan_only,marah,-118.5853,35.33686,790,igneous,291.957,19.4938,15.4699,0.232488735
17X,S17,site 17,xan_only,xantiana,-118.5853,35.33686,790,igneous,291.957,19.4938,15.4699,0.232488735
18M,S18,site 18,xan_only,marah,-118.5725,35.34747,1145,igneous,302.204,19.6464,14.1449,0.254531028
18X,S18,site 18,xan_only,xantiana,-118.5725,35.34747,1145,igneous,302.204,19.6464,14.1449,0.254531028
22M,S22,site 22,ung_incl,marah,-118.4507,35.8398,920,metasedimentary,368.577,18.4305,15.565,0.157185771
22U,S22,site 22,ung_incl,unguiculata,-118.4507,35.8398,920,metasedimentary,368.577,18.4305,15.565,0.157185771
22X,S22,site 22,ung_incl,xantiana,-118.4507,35.8398,920,metasedimentary,368.577,18.4305,15.565,0.157185771
49BM,49B,49B,xan_only,marah,-118.5311,35.47454,1156,igneous,337.536,18.7858,14.1649,0.227286166
49BX,49B,49B,xan_only,xantiana,-118.5311,35.47454,1156,igneous,337.536,18.7858,14.1649,0.227286166
49M,S49,site 49,xan_only,marah,-118.5405,35.48097,1237,igneous,358.683,18.9368,13.8849,0.300855336
49X,S49,site 49,xan_only,xantiana,-118.5405,35.48097,1237,igneous,358.683,18.9368,13.8849,0.300855336
63M,S63,site 63,xan_only,marah,-118.4358,35.79344,960,metasedimentary,337.724,19.4394,14.9849,0.154301581
63X,S63,site 63,xan_only,xantiana,-118.4358,35.79344,960,metasedimentary,337.724,19.4394,14.9849,0.154301581
6M,S6,site 6,xan_only,marah,-118.4864,35.97129,1159,metasedimentary,473.886,19.2848,13.8299,0.193688538
6X,S6,site 6,xan_only,xantiana,-118.4864,35.97129,1159,metasedimentary,473.886,19.2848,13.8299,0.193688538
84M,S84,site 84,xan_only,marah,-118.4463,35.3046,796,igneous,274.74,19.6065,15.2249,0.222202174
84X,S84,site 84,xan_only,xantiana,-118.4463,35.3046,796,igneous,274.74,19.6065,15.2249,0.222202174
85M,S85,site 85,xan_only,marah,-118.4742,35.30209,740,igneous,275.559,19.169,15.2449,0.220714229
85X,S85,site 85,xan_only,xantiana,-118.4742,35.30209,740,igneous,275.559,19.169,15.2449,0.220714229
BCM,BC,bodfish crest,xan_only,marah,-118.5056,35.57815,1220,metasedimentary,314.678,18.3249,14.7099,0.166503162
BCX,BC,bodfish crest,xan_only,xantiana,-118.5056,35.57815,1220,metasedimentary,314.678,18.3249,14.7099,0.166503162
BGM,BG,black gulch,xan_only,marah,-118.529,35.59161,700,igneous,283.235,19.2895,16.7649,0.242318972
BGX,BG,black gulch,xan_only,xantiana,-118.529,35.59161,700,igneous,283.235,19.2895,16.7649,0.242318972
BRM,BR,borel road,xan_only,marah,-118.5177,35.59024,785,igneous,285.359,17.8749,16.4849,0.173875692
BRX,BR,borel road,xan_only,xantiana,-118.5177,35.59024,785,igneous,285.359,17.8749,16.4849,0.173875692
C3M,C3,camp 3,xan_only,marah,-118.4527,35.81046,930,igneous,357.433,18.6893,15.6649,0.1745083
C3X,C3,camp 3,xan_only,xantiana,-118.4527,35.81046,930,igneous,357.433,18.6893,15.6649,0.1745083
CCM,CC,corral creek,ung_incl,marah,-118.4487,35.85642,965,metasedimentary,361.1019,19.084,15.4549,0.162492885
CCU,CC,corral creek,ung_incl,unguiculata,-118.4487,35.85642,965,metasedimentary,361.1019,19.084,15.4549,0.162492885
CCX,CC,corral creek,ung_incl,xantiana,-118.4487,35.85642,965,metasedimentary,361.1019,19.084,15.4549,0.162492885
CFM,CF,cow flat,ung_incl,marah,-118.6553,35.52898,690,igneous,357.184,16.2065,15.3849,0.21611581
CFU,CF,cow flat,ung_incl,unguiculata,-118.6553,35.52898,690,igneous,357.184,16.2065,15.3849,0.21611581
CFX,CF,cow flat,ung_incl,xantiana,-118.6553,35.52898,690,igneous,357.184,16.2065,15.3849,0.21611581
CGM,CG,china gardens,ung_incl,marah,-118.6486,35.53718,605,igneous,330.45,17.747,16.9749,0.203852372
CGU,CG,china gardens,ung_incl,unguiculata,-118.6486,35.53718,605,igneous,330.45,17.747,16.9749,0.203852372
CGX,CG,china gardens,ung_incl,xantiana,-118.6486,35.53718,605,igneous,330.45,17.747,16.9749,0.203852372
CHFM,CHF,chico flat,xan_only,marah,-118.4593,35.82357,995,igneous,357.793,18.7515,15.5849,0.143961265
CHFX,CHF,chico flat,xan_only,xantiana,-118.4593,35.82357,995,igneous,357.793,18.7515,15.5849,0.143961265
CPM,CP,cattle pens,ung_incl,marah,-118.6667,35.51667,986,igneous,382.156,15.4763,15.5149,0.212940711
CPU,CP,cattle pens,ung_incl,unguiculata,-118.6667,35.51667,986,igneous,382.156,15.4763,15.5149,0.212940711
CPX,CP,cattle pens,ung_incl,xantiana,-118.6667,35.51667,986,igneous,382.156,15.4763,15.5149,0.212940711
DCM,DC,democrat,ung_incl,marah,-118.6278,35.53081,750,igneous,336.136,17.7198,16.4999,0.204448814
DCU,DC,democrat,ung_incl,unguiculata,-118.6278,35.53081,750,igneous,336.136,17.7198,16.4999,0.204448814
DCX,DC,democrat,ung_incl,xantiana,-118.6278,35.53081,750,igneous,336.136,17.7198,16.4999,0.204448814
DGM,DG,drogon,ung_incl,marah,-118.7542,35.46755,423,igneous,281.867,18.495,17.38,0.124245652
DGU,DG,drogon,ung_incl,unguiculata,-118.7542,35.46755,423,igneous,281.867,18.495,17.38,0.124245652
DGX,DG,drogon,ung_incl,xantiana,-118.7542,35.46755,423,igneous,281.867,18.495,17.38,0.124245652
DLEM,DLE,delonegha east,ung_incl,marah,-118.6173,35.54877,660,igneous,328.747,18.8713,16.7199,0.190206324
DLEU,DLE,delonegha east,ung_incl,unguiculata,-118.6173,35.54877,660,igneous,328.747,18.8713,16.7199,0.190206324
DLEX,DLE,delonegha east,ung_incl,xantiana,-118.6173,35.54877,660,igneous,328.747,18.8713,16.7199,0.190206324
DLWM,DLW,delonegha west,xan_only,marah,-118.6211,35.54434,700,igneous,325.1669,19.3463,16.5749,0.203391304
DLWX,DLW,delonegha west,xan_only,xantiana,-118.6211,35.54434,700,igneous,325.1669,19.3463,16.5749,0.203391304
DRM,DR,doctor,xan_only,marah,-118.7114,35.47466,469,igneous,300.856,17.6302,16.2099,0.160622134
DRX,DR,doctor,xan_only,xantiana,-118.7114,35.47466,469,igneous,300.856,17.6302,16.2099,0.160622134
FRM,FR,freeway ridge,xan_only,marah,-118.5522,35.58305,810,igneous,321.644,19.8915,15.7449,0.233931028
FRX,FR,freeway ridge,xan_only,xantiana,-118.5522,35.58305,810,igneous,321.644,19.8915,15.7449,0.233931028
